group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
1;S;VMOVDQU,;-16,;0x5892,;Not found;0;Success;16;16;0;16;0;1;
12;LSSSSSSLLLLL;VADDSD,VMOVQ,VMOVSD,MOV,MOV,MOV,VMOVSD,VMOVDQA,VMOVSD,MOV,MOV,MOVZX,;-88,-80,-72,-113,-112,-104,-96,-80,-96,-104,-112,-113,;0x586d,0x5876,0x587b,0x58c7,0x58cb,0x58cf,0x58d3,0x5886,0x58e4,0x58e9,0x58ed,0x58f1,;Success;0;Success;90;49;41;49;0;1;
2;LL;MOV,MOV,;0,0,;0x5897,0x58e0,;Success;0;Success;8;4;4;4;0;2;
1;L;MOV,;0,;0x5850,;Iteration not constant;0;Success;4;4;0;4;0;1;
3;LLS;MOV,CMP,MOV,;8,16,8,;0x5872,0x5880,0x589b,;Success;0;Success;24;16;8;16;0;1;
1;L;VMULSD,;0,;0x5858,;Iteration not constant;0;Success;8;8;0;8;0;1;
