ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 37;cg.B;;main;Innermost;49.88500213623;49.884998321533;85.448944091797;1.00;2.11;4.00;1.00;1;0.00;25.00;16.00;16.00;7.60;4.00;16.00
Loop 32;cg.B;;main;Innermost;1.9850002527237;1.985000371933;3.4001438617706;1.00;2.11;4.00;1.00;1;0.00;25.00;16.00;16.00;7.60;4.00;16.00
Loop 128;cg.B;;main;Innermost;1.5799999237061;1.5799999237061;2.7064113616943;1.44;1.00;6.12;1.63;2;0.00;15.00;1.63;1.13;1.63;0.27;1.00
Loop 127;cg.B;;main;Innermost;0.89499998092651;0.89499998092651;1.5330621004105;1.00;1.00;7.33;1.25;1;0.00;15.63;2.50;2.50;2.50;0.34;2.00
Loop 36;cg.B;;main;InBetween;0.65499997138977;0.65500003099442;1.1219617128372;1.83;2.34;6.69;3.44;10;11.76;24.26;13.75;7.50;5.86;2.06;4.00
Loop 131;cg.B;;sell_spmv_new_order(SellCSigma const&, double const*, double*);Innermost;0.64499998092651;0.64499998092651;1.1048324108124;1.22;1.41;6.12;1.83;2;0.00;20.83;2.75;2.25;1.95;0.45;1.50
Loop 125;cg.B;;main;InBetween;0.22000001370907;0.21999999880791;0.37684211134911;2.33;2.06;11.33;3.00;18;5.26;18.59;10.50;4.50;5.09;0.93;3.50
Loop 35;cg.B;;main;Innermost;0.18500000238419;0.18500000238419;0.31688994169235;1.00;1.33;1.71;1.00;1;33.33;44.44;16.00;16.00;12.00;9.33;16.00
Loop 158;cg.B;;void std::__introsort_loop<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, long, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, long, __gnu_cxx::__ops::_Iter_less_iter) [clone .isra.0];InBetween;0.18500000238419;0.18500000238419;0.31688994169235;1.00;1.00;7.53;2.50;1;0.00;15.00;3.75;3.75;3.75;0.50;1.50
Loop 34;cg.B;;main;Innermost;0.17000000178814;0.16999998688698;0.2911961376667;1.00;1.21;1.42;1.00;1;57.14;64.29;16.00;16.00;13.18;11.29;16.00
