group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
1;S;VMOVDQU,;-16,;0x5b22,;Not found;0;Success;16;16;0;16;0;1;
12;LSSSSSSLLLLL;VADDSD,VMOVQ,VMOVSD,MOV,MOV,MOV,VMOVSD,VMOVDQA,VMOVSD,MOV,MOV,MOVZX,;-88,-80,-72,-113,-112,-104,-96,-80,-96,-104,-112,-113,;0x5afd,0x5b06,0x5b0b,0x5b57,0x5b5b,0x5b5f,0x5b63,0x5b16,0x5b74,0x5b79,0x5b7d,0x5b81,;Success;0;Success;90;49;41;49;0;1;
2;LL;MOV,MOV,;0,0,;0x5b27,0x5b70,;Success;0;Success;8;4;4;4;0;2;
1;L;MOV,;0,;0x5ae0,;Iteration not constant;0;Success;4;4;0;4;0;1;
3;LLS;MOV,CMP,MOV,;8,16,8,;0x5b02,0x5b10,0x5b2b,;Success;0;Success;24;16;8;16;0;1;
1;L;VMULSD,;0,;0x5ae8,;Iteration not constant;0;Success;8;8;0;8;0;1;
