group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
16;LLLLLLLLSSSSSSSS;VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,;0,32,64,96,128,160,192,224,0,32,64,96,128,160,192,224,;0x7545,0x7551,0x7558,0x755f,0x7566,0x7570,0x757a,0x7584,0x758e,0x759b,0x75a9,0x75b7,0x75c8,0x75dc,0x75f0,0x7604,;Success;256;Success;512;256;256;256;256;8;
8;LLLLLLLL;VFMADD213PD,VFMADD213PD,VFMADD213PD,VFMADD213PD,VFMADD213PD,VFMADD213PD,VFMADD213PD,VFMADD213PD,;0,32,64,96,128,160,192,224,;0x754b,0x7594,0x75a2,0x75b0,0x75be,0x75d2,0x75e6,0x75fa,;Success;256;Success;256;256;0;256;256;8;
1;L;CMP,;128,;0x7615,;Success;0;Success;8;8;0;8;0;1;
